Appraiser,Trial,Part,Value
A,1,1,0.65
A,1,2,1
A,1,3,0.85
A,1,4,0.85
A,1,5,0.55
A,1,6,1
A,1,7,0.95
A,1,8,0.85
A,1,9,1
A,1,10,0.6
A,2,1,0.6
A,2,2,1
A,2,3,0.8
A,2,4,0.95
A,2,5,0.45
A,2,6,1
A,2,7,0.95
A,2,8,0.8
A,2,9,1
A,2,10,0.7
B,1,1,0.55
B,1,2,1.05
B,1,3,0.8
B,1,4,0.8
B,1,5,0.4
B,1,6,1
B,1,7,0.95
B,1,8,0.75
B,1,9,1
B,1,10,0.55
B,2,1,0.55
B,2,2,0.95
B,2,3,0.75
B,2,4,0.75
B,2,5,0.4
B,2,6,1.05
B,2,7,0.9
B,2,8,0.7
B,2,9,0.95
B,2,10,0.5
C,1,1,0.5
C,1,2,1.05
C,1,3,0.8
C,1,4,0.8
C,1,5,0.45
C,1,6,1
C,1,7,0.95
C,1,8,0.8
C,1,9,1.05
C,1,10,0.85
C,2,1,0.55
C,2,2,1
C,2,3,0.8
C,2,4,0.8
C,2,5,0.5
C,2,6,1.05
C,2,7,0.95
C,2,8,0.8
C,2,9,1.05
C,2,10,0.8
